节点ID,节点类型,节点名称,所有属性
654,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 1, ""class"": ""undercut_groove"", ""bbox"": [474.82993197278915, 1145.578231292517, 563.9455782312925, 1294.557823129252], ""confidence"": 0.95, ""image_id"": ""img_177"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 44.55782312925169, ""location"": ""edge""}"
655,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 2, ""class"": ""undercut_groove"", ""bbox"": [561.2244897959184, 972.1088435374149, 645.578231292517, 1121.7687074829932], ""confidence"": 0.95, ""image_id"": ""img_177"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 42.17687074829928, ""location"": ""edge""}"
656,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 3, ""class"": ""undercut_groove"", ""bbox"": [708.843537414966, 591.156462585034, 779.5918367346939, 728.5714285714286], ""confidence"": 0.95, ""image_id"": ""img_177"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 35.37414965986392, ""location"": ""edge""}"
657,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [238.33560090702952, 719.72358276644, 1006.3356009070295, 1231.52358276644], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.5005861664712776, ""position"": ""edge""}"
658,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [289.5156009070295, 770.90358276644, 955.1556009070296, 1180.34358276644], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6257327080890973, ""position"": ""edge""}"
659,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 1, ""class"": ""undercut_groove"", ""bbox"": [544.3877551020408, 777.5510204081633, 681.1224489795918, 832.1428571428571], ""confidence"": 0.95, ""image_id"": ""img_178"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 27.29591836734693, ""location"": ""surface""}"
660,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 1, ""class"": ""undercut_groove"", ""bbox"": [616.9014084507043, 383.56807511737094, 668.075117370892, 495.30516431924883], ""confidence"": 0.95, ""image_id"": ""img_179"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 25.58685446009389, ""location"": ""edge""}"
661,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 2, ""class"": ""undercut_groove"", ""bbox"": [622.5352112676056, 573.7089201877934, 668.5446009389672, 676.5258215962442], ""confidence"": 0.95, ""image_id"": ""img_179"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 23.004694835680766, ""location"": ""edge""}"
662,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [260.0140845070423, 276.3769953051643, 1028.0140845070423, 788.1769953051643], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.500586166471278, ""position"": ""edge""}"
663,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [311.1940845070423, 327.5569953051643, 976.8340845070423, 736.9969953051643], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6257327080890975, ""position"": ""edge""}"
664,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 1, ""class"": ""undercut_groove"", ""bbox"": [453.7313432835821, 30.597014925373134, 570.1492537313433, 271.6417910447761], ""confidence"": 0.95, ""image_id"": ""img_180"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 58.208955223880594, ""location"": ""edge""}"
665,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 2, ""class"": ""undercut_groove"", ""bbox"": [152.23880597014926, 1032.089552238806, 323.13432835820896, 1100.7462686567164], ""confidence"": 0.95, ""image_id"": ""img_180"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 34.32835820895525, ""location"": ""surface""}"
666,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 3, ""class"": ""undercut_groove"", ""bbox"": [295.5223880597015, 697.0149253731342, 391.04477611940297, 984.3283582089551], ""confidence"": 0.95, ""image_id"": ""img_180"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 47.76119402985074, ""location"": ""edge""}"
667,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 4, ""class"": ""undercut_groove"", ""bbox"": [339.55223880597015, 511.19402985074623, 409.7014925373134, 696.2686567164178], ""confidence"": 0.95, ""image_id"": ""img_180"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 35.07462686567163, ""location"": ""edge""}"
668,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [0, 409.58507462686555, 750.8843283582089, 921.3850746268655], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4671440569718814, ""position"": ""center""}"
669,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [51.18, 460.76507462686556, 699.704328358209, 870.2050746268656], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.583930071214852, ""position"": ""center""}"
670,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 1, ""class"": ""undercut_groove"", ""bbox"": [388.37209302325584, 1354.6511627906978, 679.0697674418604, 1439.5348837209303], ""confidence"": 0.95, ""image_id"": ""img_181"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 42.44186046511629, ""location"": ""surface""}"
671,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 2, ""class"": ""undercut_groove"", ""bbox"": [866.2790697674419, 1294.1860465116279, 1111.6279069767443, 1383.7209302325582], ""confidence"": 0.95, ""image_id"": ""img_181"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 44.76744186046517, ""location"": ""surface""}"
672,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 3, ""class"": ""undercut_groove"", ""bbox"": [1116.2790697674418, 1290.6976744186047, 1537.2093023255813, 1359.3023255813953], ""confidence"": 0.95, ""image_id"": ""img_181"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 34.30232558139528, ""location"": ""surface""}"
673,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 4, ""class"": ""undercut_groove"", ""bbox"": [1539.5348837209303, 1177.906976744186, 2395.3488372093025, 1325.5813953488373], ""confidence"": 0.95, ""image_id"": ""img_181"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 73.83720930232562, ""location"": ""surface""}"
674,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 5, ""class"": ""undercut_groove"", ""bbox"": [2401.1627906976746, 1153.4883720930234, 2812.7906976744184, 1241.860465116279], ""confidence"": 0.95, ""image_id"": ""img_181"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 44.186046511627865, ""location"": ""surface""}"
675,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 6, ""class"": ""undercut_groove"", ""bbox"": [2818.604651162791, 1108.139534883721, 3131.3953488372094, 1196.5116279069766], ""confidence"": 0.95, ""image_id"": ""img_181"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 44.186046511627865, ""location"": ""surface""}"
676,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 7, ""class"": ""undercut_groove"", ""bbox"": [3137.2093023255816, 1059.3023255813953, 3643.0232558139537, 1152.3255813953488], ""confidence"": 0.95, ""image_id"": ""img_181"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 46.51162790697674, ""location"": ""surface""}"
677,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [875.4504983388704, 842.2578073089702, 3064.25049833887, 1663.05780730897], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.6666666666666665, ""position"": ""edge""}"
678,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [957.5304983388704, 924.3378073089702, 2982.17049833887, 1580.9778073089701], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.083333333333333, ""position"": ""edge""}"
679,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 1, ""class"": ""pit_depression"", ""bbox"": [2556.5217391304345, 756.5217391304348, 2663.7681159420285, 876.8115942028985], ""confidence"": 0.95, ""image_id"": ""img_182"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 32.1739130434782, ""shape_regularity"": ""irregular""}"
680,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 1, ""class"": ""pit_depression"", ""bbox"": [944.8275862068966, 1078.448275862069, 1043.9655172413793, 1170.689655172414], ""confidence"": 0.95, ""image_id"": ""img_183"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 27.672413793103463, ""shape_regularity"": ""irregular""}"
681,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 1, ""class"": ""pit_depression"", ""bbox"": [1387.7192982456138, 2705.2631578947367, 1568.4210526315787, 2896.491228070175], ""confidence"": 0.95, ""image_id"": ""img_184"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 54.21052631578948, ""shape_regularity"": ""irregular""}"
682,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 2, ""class"": ""overlap_bump"", ""bbox"": [1393.7984496124031, 1131.0077519379845, 1579.0697674418604, 1306.2015503875969], ""confidence"": 0.95, ""image_id"": ""img_184"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 140.1550387596899, ""shape"": ""protrusion""}"
683,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [575.0521419828641, 1404.9409220726234, 2389.452141982864, 2614.5409220726233], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4999999999999998, ""position"": ""edge""}"
684,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [696.0121419828641, 1525.9009220726234, 2268.492141982864, 2493.5809220726233], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6249999999999998, ""position"": ""edge""}"
685,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 1, ""class"": ""pit_depression"", ""bbox"": [1603.370786516854, 1359.5505617977528, 1750.561797752809, 1516.8539325842696], ""confidence"": 0.95, ""image_id"": ""img_185"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 44.15730337078653, ""shape_regularity"": ""irregular""}"
686,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 2, ""class"": ""pit_depression"", ""bbox"": [1862.9213483146068, 1367.4157303370787, 2017.9775280898875, 1529.2134831460673], ""confidence"": 0.95, ""image_id"": ""img_185"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 46.51685393258422, ""shape_regularity"": ""irregular""}"
687,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [714.3078651685394, 1032.858426966292, 2903.1078651685393, 1853.6584269662922], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.6666666666666665, ""position"": ""edge""}"
688,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [796.3878651685394, 1114.938426966292, 2821.0278651685394, 1771.5784269662922], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.0833333333333317, ""position"": ""edge""}"
689,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 1, ""class"": ""pit_depression"", ""bbox"": [563.6666666666667, 2975.0, 950.3333333333335, 3515.0], ""confidence"": 0.95, ""image_id"": ""img_186"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 116.00000000000001, ""shape_regularity"": ""irregular""}"
690,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 2, ""class"": ""pit_depression"", ""bbox"": [947.0, 1850.0, 1267.0, 2158.3333333333335], ""confidence"": 0.95, ""image_id"": ""img_186"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 92.50000000000004, ""shape_regularity"": ""irregular""}"
691,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 3, ""class"": ""pit_depression"", ""bbox"": [797.0, 2221.666666666667, 1270.3333333333335, 2818.3333333333335], ""confidence"": 0.95, ""image_id"": ""img_186"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 142.00000000000003, ""shape_regularity"": ""irregular""}"
692,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 4, ""class"": ""pit_depression"", ""bbox"": [370.33333333333337, 3311.666666666667, 553.6666666666667, 3538.3333333333335], ""confidence"": 0.95, ""image_id"": ""img_186"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 55.00000000000001, ""shape_regularity"": ""irregular""}"
693,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [347.91666666666674, 2251.341666666667, 1331.9166666666667, 3345.741666666667], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 0.8991228070175442, ""position"": ""edge""}"
694,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [446.3166666666667, 2349.7416666666672, 1233.5166666666667, 3247.3416666666667], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 0.8770053475935834, ""position"": ""edge""}"
695,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 1, ""class"": ""pit_depression"", ""bbox"": [666.9064748201438, 656.115107913669, 771.9424460431654, 764.7482014388488], ""confidence"": 0.95, ""image_id"": ""img_187"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 31.510791366906492, ""shape_regularity"": ""regular""}"
696,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 2, ""class"": ""pit_depression"", ""bbox"": [256.25, 376.5625, 400.0, 532.8125], ""confidence"": 0.95, ""image_id"": ""img_187"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 43.125, ""shape_regularity"": ""irregular""}"
697,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [139.77473021582728, 326.65957733812945, 907.7747302158273, 838.4595773381294], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.500586166471278, ""position"": ""center""}"
698,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [190.95473021582728, 377.83957733812946, 856.5947302158273, 787.2795773381295], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6257327080890975, ""position"": ""edge""}"
699,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 1, ""class"": ""pit_depression"", ""bbox"": [623.2222222222223, 1351.388888888889, 801.0, 1551.388888888889], ""confidence"": 0.95, ""image_id"": ""img_188"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 53.333333333333314, ""shape_regularity"": ""irregular""}"
700,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1311.6666666666667, 1888.3333333333335, 1455.0, 2005.0], ""confidence"": 0.95, ""image_id"": ""img_189"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 66, ""density"": ""very_high""}"
701,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [2200.0, 1716.4556962025315, 2296.2025316455697, 1786.0759493670885], ""confidence"": 0.95, ""image_id"": ""img_190"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 26, ""density"": ""very_high""}"
702,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 1, ""class"": ""pit_depression"", ""bbox"": [1817.171717171717, 1090.909090909091, 1923.2323232323233, 1195.959595959596], ""confidence"": 0.95, ""image_id"": ""img_191"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 31.515151515151523, ""shape_regularity"": ""regular""}"
703,"[__Node__, Defect, pit_depression]",Pit Depression,"{""local_id"": 2, ""class"": ""pit_depression"", ""bbox"": [2179.7979797979797, 1083.8383838383838, 2282.8282828282827, 1189.8989898989898], ""confidence"": 0.95, ""image_id"": ""img_191"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 30.9090909090909, ""shape_regularity"": ""regular""}"
704,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [821.957575757576, 794.5515151515153, 3279.557575757576, 1485.7515151515152], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.555555555555557, ""position"": ""edge""}"
705,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [891.077575757576, 863.6715151515153, 3210.4375757575763, 1416.6315151515153], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 4.1944444444444455, ""position"": ""edge""}"
706,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [454.5, 948.0, 515.4375, 1058.9375], ""confidence"": 0.95, ""image_id"": ""img_192"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 27, ""density"": ""very_high""}"
707,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [444.8979591836735, 426.53061224489795, 500.68027210884355, 491.15646258503403], ""confidence"": 0.95, ""image_id"": ""img_192"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 14, ""density"": ""very_high""}"
708,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [154.87893282312928, 515.156143707483, 802.8789328231293, 947.156143707483], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.5, ""position"": ""edge""}"
709,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [198.07893282312926, 558.356143707483, 759.6789328231292, 903.956143707483], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6250000000000002, ""position"": ""edge""}"
710,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [568.9850746268656, 735.0746268656716, 607.044776119403, 790.2985074626865], ""confidence"": 0.95, ""image_id"": ""img_193"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 8, ""density"": ""very_high""}"
711,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [571.9701492537313, 848.5074626865671, 606.2985074626865, 893.2835820895522], ""confidence"": 0.95, ""image_id"": ""img_193"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 6, ""density"": ""very_high""}"
712,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 3, ""class"": ""porosity_region"", ""bbox"": [566.0, 979.1044776119403, 603.3134328358209, 1017.1641791044775], ""confidence"": 0.95, ""image_id"": ""img_193"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 5, ""density"": ""very_high""}"
713,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [263.2686567164179, 661.2388059701492, 911.2686567164179, 1093.2388059701493], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4999999999999996, ""position"": ""edge""}"
714,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [306.4686567164179, 704.4388059701492, 868.0686567164179, 1050.0388059701493], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6249999999999996, ""position"": ""edge""}"
715,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1969.620253164557, 1318.987341772152, 2507.5949367088606, 1579.746835443038], ""confidence"": 0.95, ""image_id"": ""img_194"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 561, ""density"": ""very_high""}"
716,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [2532.911392405063, 1432.9113924050632, 2888.6075949367087, 1675.9493670886075], ""confidence"": 0.95, ""image_id"": ""img_194"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 345, ""density"": ""very_high""}"
717,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [1265.0835443037972, 1048.2987341772152, 3684.283544303797, 1955.498734177215], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.666666666666667, ""position"": ""edge""}"
718,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [1355.8035443037973, 1139.0187341772153, 3593.5635443037972, 1864.778734177215], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.083333333333335, ""position"": ""edge""}"
719,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [2416.666666666667, 1556.6666666666667, 3236.666666666667, 2293.3333333333335], ""confidence"": 0.95, ""image_id"": ""img_195"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 2416, ""density"": ""very_high""}"
720,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [1628.225806451613, 1151.6129032258063, 1832.258064516129, 1287.9032258064517], ""confidence"": 0.95, ""image_id"": ""img_196"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 111, ""density"": ""very_high""}"
721,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [1846.774193548387, 1175.8064516129032, 2124.1935483870966, 1333.8709677419356], ""confidence"": 0.95, ""image_id"": ""img_196"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 175, ""density"": ""very_high""}"
722,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 3, ""class"": ""porosity_region"", ""bbox"": [2462.6373626373625, 1239.010989010989, 2657.6923076923076, 1370.3296703296703], ""confidence"": 0.95, ""image_id"": ""img_196"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 102, ""density"": ""very_high""}"
723,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [882.363547205483, 806.1557012879596, 3301.563547205483, 1713.3557012879594], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.666666666666667, ""position"": ""edge""}"
724,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [973.083547205483, 896.8757012879596, 3210.843547205483, 1622.6357012879594], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.083333333333335, ""position"": ""edge""}"
725,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [969.2622950819673, 702.9180327868853, 1084.016393442623, 812.7540983606558], ""confidence"": 0.95, ""image_id"": ""img_197"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 50, ""density"": ""very_high""}"
726,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [515.9420289855072, 428.98550724637676, 664.4927536231884, 539.1304347826086], ""confidence"": 0.95, ""image_id"": ""img_198"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 65, ""density"": ""very_high""}"
727,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [673.1884057971014, 405.0724637681159, 829.7101449275361, 528.2608695652174], ""confidence"": 0.95, ""image_id"": ""img_198"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 77, ""density"": ""very_high""}"
728,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 3, ""class"": ""porosity_region"", ""bbox"": [848.5507246376811, 389.85507246376807, 995.6521739130434, 514.4927536231884], ""confidence"": 0.95, ""image_id"": ""img_198"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 73, ""density"": ""very_high""}"
729,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 4, ""class"": ""porosity_region"", ""bbox"": [1003.623188405797, 367.39130434782606, 1144.927536231884, 476.8115942028985], ""confidence"": 0.95, ""image_id"": ""img_198"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 61, ""density"": ""very_high""}"
730,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 5, ""class"": ""porosity_region"", ""bbox"": [1151.4492753623188, 352.89855072463763, 1269.5652173913043, 449.99999999999994], ""confidence"": 0.95, ""image_id"": ""img_198"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 45, ""density"": ""very_high""}"
731,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [304.9101449275363, 218.4898550724637, 1514.5101449275362, 672.0898550724637], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.6666666666666665, ""position"": ""edge""}"
732,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [350.2701449275363, 263.8498550724637, 1469.1501449275363, 626.7298550724637], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.0833333333333335, ""position"": ""edge""}"
733,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 1, ""class"": ""porosity_region"", ""bbox"": [739.5454545454545, 595.0, 800.9090909090909, 660.0], ""confidence"": 0.95, ""image_id"": ""img_199"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 15, ""density"": ""very_high""}"
734,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [721.8181818181818, 1189.090909090909, 792.2727272727273, 1263.6363636363635], ""confidence"": 0.95, ""image_id"": ""img_199"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 21, ""density"": ""very_high""}"
735,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [158.83636363636367, 700.1318181818182, 1368.4363636363637, 1153.7318181818182], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.6666666666666665, ""position"": ""center""}"
